Frequency(Hz),Amp(dB),原始数据
1310000000,-0.764675282,-0.78862147
1320000000,-0.767974718,-0.789743561
1330000000,-0.771239651,-0.785279199
1340000000,-0.774501259,-0.787745542
1350000000,-0.777734764,-0.798267748
1360000000,-0.780883985,-0.794789239
1370000000,-0.784090311,-0.795373436
1380000000,-0.787206003,-0.802152997
1390000000,-0.79032059,-0.801192576
1400000000,-0.793491736,-0.80493283
1410000000,-0.796569766,-0.811572415
1420000000,-0.799699224,-0.819097988
1430000000,-0.802830224,-0.824626203
1440000000,-0.805920891,-0.8253276
1450000000,-0.8090191,-0.830071253
1460000000,-0.812122667,-0.839124233
1470000000,-0.815229379,-0.841077594
1480000000,-0.81831093,-0.842020389
1490000000,-0.82140052,-0.848887673
1500000000,-0.824454367,-0.848537499
1510000000,-0.827505465,-0.85059792
1520000000,-0.830542271,-0.85707201
1530000000,-0.833614475,-0.854235759
1540000000,-0.836614689,-0.858207656
1550000000,-0.839625025,-0.856963559
1560000000,-0.842581137,-0.859144329
1570000000,-0.845538076,-0.859501825
1580000000,-0.8484544,-0.865523907
1590000000,-0.851333818,-0.863013435
1600000000,-0.854217562,-0.861988268
1610000000,-0.85705525,-0.867492474
1620000000,-0.859895162,-0.869985832
1630000000,-0.862693682,-0.871743671
1640000000,-0.865469938,-0.871033318
1650000000,-0.868284678,-0.875482102
1660000000,-0.871031815,-0.87618735
1670000000,-0.873776146,-0.884636391
1680000000,-0.876554583,-0.884936553
1690000000,-0.879315209,-0.893165209
1700000000,-0.882104039,-0.895630684
1710000000,-0.8848905,-0.89725219
1720000000,-0.88766413,-0.896968973
1730000000,-0.890457496,-0.904220281
1740000000,-0.893289981,-0.90461536
1750000000,-0.896078763,-0.908393456
1760000000,-0.89886966,-0.911163817
1770000000,-0.901651146,-0.914355691
1780000000,-0.904438388,-0.917959276
1790000000,-0.907239524,-0.914467201
1800000000,-0.909984413,-0.915932479
1810000000,-0.912741454,-0.924778123
1820000000,-0.915456646,-0.925087147
1830000000,-0.918152953,-0.923792563
1840000000,-0.920792133,-0.928927385
1850000000,-0.923442409,-0.929514625
1860000000,-0.926060885,-0.925076636
1870000000,-0.928676577,-0.932060514
1880000000,-0.931278794,-0.938690852
1890000000,-0.933835255,-0.94099223
1900000000,-0.936361619,-0.939559224
1910000000,-0.93886924,-0.943606413
1920000000,-0.941399254,-0.951738376
1930000000,-0.943886854,-0.948879689
1940000000,-0.946397247,-0.951135049
1950000000,-0.948948185,-0.954523569
1960000000,-0.951437662,-0.956180048
1970000000,-0.953934187,-0.960549657
1980000000,-0.956448491,-0.962167568
1990000000,-0.958997241,-0.960808953
2000000000,-0.961545467,-0.963668983
2010000000,-0.964102645,-0.96654283
2020000000,-0.966671661,-0.966005665
2030000000,-0.969234464,-0.969161353
2040000000,-0.971840894,-0.962468978
2050000000,-0.974386749,-0.971816534
2060000000,-0.976938465,-0.970972014
2070000000,-0.97948354,-0.968013409
2080000000,-0.982051509,-0.973768714
2090000000,-0.984598353,-0.980255921
2100000000,-0.987094843,-0.977343024
2110000000,-0.989595433,-0.979128187
2120000000,-0.992103181,-0.989421677
2130000000,-0.994529735,-0.986985148
2140000000,-0.996951653,-0.990280283
2150000000,-0.999347788,-0.997858762
2160000000,-1.001703583,-1.009122268
2170000000,-1.004064492,-1.00555248
2180000000,-1.006442422,-1.012031082
2190000000,-1.008792293,-1.013519746
2200000000,-1.011106932,-1.022649476
2210000000,-1.013442505,-1.025770088
2220000000,-1.01577406,-1.026751275
2230000000,-1.018135129,-1.031892728
2240000000,-1.020469049,-1.03705414
2250000000,-1.022849302,-1.031445205
2260000000,-1.025258682,-1.037915615
2270000000,-1.027636989,-1.037075062
2280000000,-1.030030534,-1.036872934
2290000000,-1.032468301,-1.041187007
2300000000,-1.034900434,-1.043904529
2310000000,-1.037343934,-1.046072748
2320000000,-1.039781996,-1.035898912
2330000000,-1.042262408,-1.04440027
2340000000,-1.044728524,-1.04358407
2350000000,-1.047165908,-1.035657559
2360000000,-1.049655107,-1.047548143
2370000000,-1.052110444,-1.044486294
2380000000,-1.054549909,-1.045425285
2390000000,-1.057000288,-1.057588491
2400000000,-1.059440791,-1.053389288
2410000000,-1.061849041,-1.059061052
2420000000,-1.064230481,-1.062597159
2430000000,-1.066597372,-1.064810983
2440000000,-1.068970931,-1.066475897
2450000000,-1.071340937,-1.073673947
2460000000,-1.073632228,-1.079593875
2470000000,-1.075957873,-1.085353916
2480000000,-1.078296492,-1.087702307
2490000000,-1.080619408,-1.093967282
2500000000,-1.082955257,-1.094047079
2510000000,-1.08526672,-1.102229932
2520000000,-1.087584974,-1.107004078
2530000000,-1.089924646,-1.104298029
2540000000,-1.092248932,-1.108902423
2550000000,-1.094608903,-1.10703889
2560000000,-1.096968606,-1.109469063
2570000000,-1.099338474,-1.108174575
2580000000,-1.101658816,-1.104787061
2590000000,-1.104009287,-1.108608153
2600000000,-1.10637374,-1.106549486
2610000000,-1.108734009,-1.109802671
2620000000,-1.111095415,-1.108158556
2630000000,-1.113448336,-1.106047027
2640000000,-1.115801587,-1.11149791
2650000000,-1.118164682,-1.108191032
2660000000,-1.120504308,-1.108626219
2670000000,-1.122829705,-1.113923297
2680000000,-1.125168647,-1.118802093
2690000000,-1.127478999,-1.122712433
2700000000,-1.129761121,-1.127173416
2710000000,-1.132047167,-1.13459156
2720000000,-1.134334557,-1.134422809
2730000000,-1.136618806,-1.144803111
2740000000,-1.138872316,-1.141088408
2750000000,-1.141113922,-1.147134648
2760000000,-1.143392111,-1.152207776
2770000000,-1.145635976,-1.156103736
2780000000,-1.147910889,-1.161128939
2790000000,-1.150184923,-1.162775204
2800000000,-1.152469656,-1.168287847
2810000000,-1.154743915,-1.165242241
2820000000,-1.157004825,-1.169613762
2830000000,-1.159289928,-1.164717782
2840000000,-1.161530997,-1.168529678
2850000000,-1.163796648,-1.169554822
2860000000,-1.166112901,-1.172188549
2870000000,-1.168396216,-1.172422897
2880000000,-1.170635216,-1.166274211
2890000000,-1.172904307,-1.168008269
2900000000,-1.175141309,-1.167310851
2910000000,-1.177368356,-1.175507736
2920000000,-1.179582146,-1.171854703
2930000000,-1.181845905,-1.179817532
2940000000,-1.18407697,-1.185242002
2950000000,-1.186334057,-1.180575019
2960000000,-1.188572254,-1.182949243
2970000000,-1.190806615,-1.186269163
2980000000,-1.19303992,-1.19345927
2990000000,-1.195298059,-1.197144057
3000000000,-1.19757495,-1.203408013
3010000000,-1.199769933,-1.201125631
3020000000,-1.201993244,-1.2059614
3030000000,-1.204199989,-1.213409575
3040000000,-1.206495299,-1.212619957
3050000000,-1.208739555,-1.209518386
3060000000,-1.21096171,-1.214220565
3070000000,-1.213214055,-1.219552196
3080000000,-1.215475138,-1.219618983
3090000000,-1.21766142,-1.219216627
3100000000,-1.219886173,-1.225590833
3110000000,-1.222046609,-1.228907307
3120000000,-1.224202972,-1.228453362
3130000000,-1.226403647,-1.229120195
3140000000,-1.228604788,-1.226409578
3150000000,-1.230796731,-1.230303286
3160000000,-1.232937611,-1.232323091
3170000000,-1.235120299,-1.239650767
3180000000,-1.237274662,-1.238068087
3190000000,-1.239443042,-1.238486825
3200000000,-1.241586688,-1.24041843
3210000000,-1.243728329,-1.246961942
3220000000,-1.24585551,-1.251625318
3230000000,-1.247990377,-1.254556505
3240000000,-1.250106965,-1.260383456
3250000000,-1.252264164,-1.262274118
3260000000,-1.254365971,-1.262436443
3270000000,-1.256521437,-1.265688379
3280000000,-1.258652109,-1.267937965
3290000000,-1.260795152,-1.269566245
3300000000,-1.262935153,-1.274877923
3310000000,-1.265035395,-1.27491793
3320000000,-1.267173224,-1.278881194
3330000000,-1.269309291,-1.278502645
3340000000,-1.271480124,-1.28330721
3350000000,-1.273655101,-1.290139819
3360000000,-1.275792741,-1.283985401
3370000000,-1.277894351,-1.287606585
3380000000,-1.28003688,-1.288818088
3390000000,-1.282128461,-1.29059292
3400000000,-1.284257074,-1.290814095
3410000000,-1.286375917,-1.293004624
3420000000,-1.288475224,-1.295637519
3430000000,-1.290530094,-1.297665793
3440000000,-1.29260884,-1.301702457
3450000000,-1.294666761,-1.295091051
3460000000,-1.296723197,-1.303881033
3470000000,-1.298773283,-1.307405589
3480000000,-1.300818141,-1.311147962
3490000000,-1.302829354,-1.313371394
3500000000,-1.304848461,-1.310579128
3510000000,-1.306896506,-1.318404407
3520000000,-1.308895042,-1.319830475
3530000000,-1.310919698,-1.320740572
3540000000,-1.312943184,-1.326597829
3550000000,-1.314977596,-1.328725195
3560000000,-1.317013824,-1.331105597
3570000000,-1.319053258,-1.327271964
3580000000,-1.32110759,-1.330757225
3590000000,-1.323153838,-1.33251431
3600000000,-1.325211583,-1.337186147
3610000000,-1.327229601,-1.339905665
3620000000,-1.329272652,-1.339974785
3630000000,-1.331320229,-1.339330435
3640000000,-1.333323435,-1.345738
3650000000,-1.335360352,-1.341772866
3660000000,-1.337412126,-1.347390416
3670000000,-1.339466329,-1.350386037
3680000000,-1.341481534,-1.352925111
3690000000,-1.343469727,-1.349773026
3700000000,-1.345454449,-1.35217529
3710000000,-1.347455336,-1.35215967
3720000000,-1.349442035,-1.358785889
3730000000,-1.35139028,-1.353063732
3740000000,-1.353361284,-1.354472987
3750000000,-1.355305659,-1.364523438
3760000000,-1.357262966,-1.360884873
3770000000,-1.359211413,-1.370667078
3780000000,-1.361132222,-1.366999844
3790000000,-1.363081163,-1.370594429
3800000000,-1.364994214,-1.377355536
3810000000,-1.36693006,-1.375008366
3820000000,-1.368872117,-1.378528119
3830000000,-1.370801652,-1.374899994
3840000000,-1.372749991,-1.380379194
3850000000,-1.374682239,-1.386010917
3860000000,-1.376634969,-1.386440363
3870000000,-1.37858066,-1.384251676
3880000000,-1.380569533,-1.392541381
3890000000,-1.382538781,-1.384722665
3900000000,-1.38453619,-1.3867887
3910000000,-1.386467078,-1.39228266
3920000000,-1.38844389,-1.399367717
3930000000,-1.390387604,-1.395117044
3940000000,-1.392307833,-1.403683813
3950000000,-1.394265935,-1.401581339
3960000000,-1.396245435,-1.405187447
3970000000,-1.398226145,-1.406595322
3980000000,-1.400210386,-1.410178462
3990000000,-1.4021838,-1.416770366
4000000000,-1.404139571,-1.403344531
4010000000,-1.406130488,-1.408444456
4020000000,-1.40811246,-1.408303638
4030000000,-1.410082458,-1.419235576
4040000000,-1.412070298,-1.418423648
4050000000,-1.414105942,-1.413180837
4060000000,-1.416118919,-1.416230043
4070000000,-1.418104231,-1.423724166
4080000000,-1.420080544,-1.415326105
4090000000,-1.422065061,-1.42006876
4100000000,-1.424057645,-1.40905503
4110000000,-1.426018101,-1.418537817
4120000000,-1.427993459,-1.424919536
4130000000,-1.429945389,-1.428307382
4140000000,-1.431923776,-1.434055347
4150000000,-1.433888649,-1.435157375
4160000000,-1.435870131,-1.439907413
4170000000,-1.43780573,-1.440749407
4180000000,-1.439748173,-1.445027303
4190000000,-1.441708377,-1.449235045
4200000000,-1.443689112,-1.451956641
4210000000,-1.445633511,-1.450060313
4220000000,-1.447575323,-1.456731211
4230000000,-1.449522339,-1.458255122
4240000000,-1.451472013,-1.460727839
4250000000,-1.453427046,-1.456175151
4260000000,-1.455398752,-1.466012848
4270000000,-1.457385799,-1.46087672
4280000000,-1.459401297,-1.467652558
4290000000,-1.461435747,-1.469764748
4300000000,-1.463431592,-1.464020935
4310000000,-1.465461668,-1.461326739
4320000000,-1.467472522,-1.46947778
4330000000,-1.469494559,-1.475579679
4340000000,-1.47148833,-1.468478056
4350000000,-1.473440005,-1.472938533
4360000000,-1.475437859,-1.462706728
4370000000,-1.477447805,-1.471788469
4380000000,-1.479481533,-1.473813146
4390000000,-1.481458204,-1.476983155
4400000000,-1.483426277,-1.480710988
4410000000,-1.485331635,-1.480359134
4420000000,-1.48727025,-1.473730085
4430000000,-1.489172156,-1.48014633
4440000000,-1.491083754,-1.483200362
4450000000,-1.493021032,-1.488824667
4460000000,-1.494912346,-1.49332094
4470000000,-1.496803131,-1.494629066
4480000000,-1.498691228,-1.494198675
4490000000,-1.500614505,-1.495849398
4500000000,-1.502540854,-1.509790867
4510000000,-1.504435332,-1.504712712
4520000000,-1.506341761,-1.507204565
4530000000,-1.508254545,-1.511576056
4540000000,-1.510167008,-1.511886995
4550000000,-1.512077828,-1.51467843
4560000000,-1.513995991,-1.514021937
4570000000,-1.515955034,-1.513599095
4580000000,-1.517915653,-1.515811483
4590000000,-1.519853697,-1.516040679
4600000000,-1.521771721,-1.511388262
4610000000,-1.523691502,-1.514725811
4620000000,-1.525621227,-1.513514864
4630000000,-1.52756326,-1.510135795
4640000000,-1.529464548,-1.513537618
4650000000,-1.531400832,-1.516929278
4660000000,-1.533331469,-1.522709715
4670000000,-1.535206265,-1.519827871
4680000000,-1.537063214,-1.518362688
4690000000,-1.538956692,-1.522133108
4700000000,-1.540806045,-1.532768073
4710000000,-1.542690101,-1.529776036
4720000000,-1.544506662,-1.532503861
4730000000,-1.546385596,-1.533318092
4740000000,-1.548237603,-1.534065274
4750000000,-1.550047129,-1.54171195
4760000000,-1.551853425,-1.543844664
4770000000,-1.553597325,-1.543369959
4780000000,-1.555418038,-1.55061438
4790000000,-1.557254892,-1.548985077
4800000000,-1.559055963,-1.550475568
4810000000,-1.560851475,-1.556083163
4820000000,-1.562653874,-1.548695223
4830000000,-1.564500032,-1.55624911
4840000000,-1.566298483,-1.554072186
4850000000,-1.56809219,-1.560781812
4860000000,-1.569910501,-1.559615351
4870000000,-1.571742022,-1.562060089
4880000000,-1.573569224,-1.559888478
4890000000,-1.575463797,-1.564795265
4900000000,-1.577335457,-1.559754511
4910000000,-1.579203018,-1.565240273
4920000000,-1.580994138,-1.566616613
4930000000,-1.582842856,-1.567367589
4940000000,-1.584657482,-1.570237261
4950000000,-1.586495322,-1.576869689
4960000000,-1.588328882,-1.580430573
4970000000,-1.590164035,-1.588323268
4980000000,-1.591961171,-1.589853357
4990000000,-1.593730463,-1.592606424
5000000000,-1.59560986,-1.59731805
5010000000,-1.597414432,-1.600373821
5020000000,-1.599214663,-1.605439318
5030000000,-1.600996047,-1.608200126
5040000000,-1.602814167,-1.614611482
5050000000,-1.604684792,-1.614802921
5060000000,-1.606549454,-1.614629285
5070000000,-1.60837024,-1.612905277
5080000000,-1.610229691,-1.614135602
5090000000,-1.612112507,-1.622114962
5100000000,-1.614070223,-1.619038063
5110000000,-1.615944826,-1.621549606
5120000000,-1.617806042,-1.617554306
5130000000,-1.619698252,-1.620108623
5140000000,-1.621508697,-1.621312911
5150000000,-1.623343952,-1.626638049
5160000000,-1.625193615,-1.624834918
5170000000,-1.627031461,-1.624614395
5180000000,-1.6288561,-1.62856736
5190000000,-1.630693184,-1.634584693
5200000000,-1.632535007,-1.633897271
5210000000,-1.634390278,-1.638046058
5220000000,-1.636223241,-1.642012568
5230000000,-1.638063254,-1.648368549
5240000000,-1.63990956,-1.651325746
5250000000,-1.641754952,-1.654805908
5260000000,-1.643562758,-1.66111078
5270000000,-1.64544423,-1.669022111
5280000000,-1.647293263,-1.674421645
5290000000,-1.649145453,-1.672051157
5300000000,-1.65103687,-1.678903156
5310000000,-1.652982053,-1.679040981
5320000000,-1.654879044,-1.680888017
5330000000,-1.65676827,-1.680067648
5340000000,-1.658696971,-1.678523259
5350000000,-1.660595274,-1.681558235
5360000000,-1.662570168,-1.68758596
5370000000,-1.66452952,-1.693529817
5380000000,-1.666471252,-1.683950555
5390000000,-1.668380872,-1.682460621
5400000000,-1.670280667,-1.67217083
5410000000,-1.672230249,-1.681421996
5420000000,-1.674182034,-1.676144934
5430000000,-1.676116215,-1.68211046
5440000000,-1.678016544,-1.680609389
5450000000,-1.679930881,-1.680252535
5460000000,-1.681816024,-1.683671745
5470000000,-1.683701386,-1.686879288
5480000000,-1.68560123,-1.696103482
5490000000,-1.687505913,-1.693922722
5500000000,-1.689353231,-1.695405401
5510000000,-1.691196267,-1.699209912
5520000000,-1.69307715,-1.701384649
5530000000,-1.694949476,-1.707178006
5540000000,-1.696829708,-1.708978311
5550000000,-1.69871712,-1.712820001
5560000000,-1.700615866,-1.717121454
5570000000,-1.702544365,-1.720920524
5580000000,-1.70446376,-1.718185067
5590000000,-1.706402995,-1.718872936
5600000000,-1.708383338,-1.721941988
5610000000,-1.710298983,-1.723990076
5620000000,-1.712261523,-1.725795056
5630000000,-1.714241763,-1.724094348
5640000000,-1.716188625,-1.727093401
5650000000,-1.718165978,-1.731587112
5660000000,-1.720115252,-1.723470373
5670000000,-1.722104836,-1.722458079
5680000000,-1.724109875,-1.726575126
5690000000,-1.726096693,-1.720196406
5700000000,-1.728026911,-1.727086815
5710000000,-1.729983788,-1.720281601
5720000000,-1.731938352,-1.726971643
5730000000,-1.733883612,-1.723022326
5740000000,-1.735826833,-1.724619163
5750000000,-1.73775922,-1.720337666
5760000000,-1.739672508,-1.717703349
5770000000,-1.741615238,-1.729321724
5780000000,-1.743547133,-1.736128302
5790000000,-1.745490096,-1.735768583
5800000000,-1.747446775,-1.732315359
5810000000,-1.749348185,-1.737205568
5820000000,-1.751317493,-1.742285387
5830000000,-1.753253819,-1.738270989
5840000000,-1.755156561,-1.74295855
5850000000,-1.757094185,-1.748284245
5860000000,-1.759026239,-1.748724248
5870000000,-1.760976919,-1.756154734
5880000000,-1.762906248,-1.76174256
5890000000,-1.764848912,-1.759249054
5900000000,-1.766851347,-1.763927352
5910000000,-1.768823535,-1.755800595
5920000000,-1.770762966,-1.763011923
5930000000,-1.772756546,-1.764794476
5940000000,-1.774745376,-1.767311397
5950000000,-1.776684544,-1.770065824
5960000000,-1.77862262,-1.771790858
5970000000,-1.780530812,-1.767808487
5980000000,-1.782433168,-1.768859474
5990000000,-1.784359163,-1.777344523
6000000000,-1.786299789,-1.767554336
6010000000,-1.788244397,-1.766549614
6020000000,-1.790157274,-1.773731061
6030000000,-1.792053928,-1.780229378
6040000000,-1.793925358,-1.785435267
6050000000,-1.795826428,-1.78729774
6060000000,-1.7977688,-1.786060641
6070000000,-1.799729438,-1.785356831
6080000000,-1.801687818,-1.794749167
6090000000,-1.803616928,-1.798640511
6100000000,-1.805544476,-1.79158372
6110000000,-1.807485304,-1.795301654
6120000000,-1.80943872,-1.804857174
6130000000,-1.811400002,-1.794333914
6140000000,-1.813354243,-1.800373095
6150000000,-1.815285715,-1.807990221
6160000000,-1.817227653,-1.806480846
6170000000,-1.819212961,-1.808130522
6180000000,-1.821142351,-1.814814802
6190000000,-1.823032337,-1.818479241
6200000000,-1.824970209,-1.81925939
6210000000,-1.826894231,-1.821490781
6220000000,-1.828807709,-1.824417735
6230000000,-1.83068311,-1.828142745
6240000000,-1.832564503,-1.823408151
6250000000,-1.834434332,-1.825766292
6260000000,-1.836315934,-1.83528951
6270000000,-1.838178259,-1.835610144
6280000000,-1.840038332,-1.838350536
6290000000,-1.841929998,-1.840413024
6300000000,-1.843813467,-1.848418187
6310000000,-1.845690935,-1.846978852
6320000000,-1.847581667,-1.851535726
6330000000,-1.849519684,-1.852289512
6340000000,-1.851476934,-1.850700917
6350000000,-1.853446857,-1.855710645
6360000000,-1.855396395,-1.861699401
6370000000,-1.857318706,-1.860217889
6380000000,-1.859288305,-1.856997504
6390000000,-1.861283313,-1.858770161
6400000000,-1.863332299,-1.86832598
6410000000,-1.865341663,-1.8621353
6420000000,-1.867405729,-1.865048458
6430000000,-1.869393133,-1.861365792
6440000000,-1.871377122,-1.869777641
6450000000,-1.873407864,-1.868464342
6460000000,-1.875400237,-1.869816199
6470000000,-1.87738397,-1.872267708
6480000000,-1.879294626,-1.874881148
6490000000,-1.88124788,-1.877407256
6500000000,-1.88312209,-1.871476766
6510000000,-1.884962969,-1.881500413
6520000000,-1.886836252,-1.884168934
6530000000,-1.888686082,-1.886053064
6540000000,-1.890537679,-1.890273537
6550000000,-1.892386552,-1.891872426
6560000000,-1.894176169,-1.897370291
6570000000,-1.895979167,-1.897771013
6580000000,-1.897808448,-1.90194848
6590000000,-1.899671511,-1.905476582
6600000000,-1.901535869,-1.895939206
6610000000,-1.903389407,-1.904060241
6620000000,-1.90528214,-1.904203576
6630000000,-1.907181289,-1.900963092
6640000000,-1.909069533,-1.910422505
6650000000,-1.910924401,-1.910615351
6660000000,-1.912819365,-1.915755155
6670000000,-1.914746892,-1.917365446
6680000000,-1.916680508,-1.91750975
6690000000,-1.918647512,-1.916881593
6700000000,-1.920550986,-1.919194504
6710000000,-1.922504112,-1.921462006
6720000000,-1.924438038,-1.920424937
6730000000,-1.926387932,-1.920766154
6740000000,-1.928319953,-1.926257033
6750000000,-1.93026971,-1.924588953
6760000000,-1.932233524,-1.929973293
6770000000,-1.934085761,-1.935061432
6780000000,-1.935940592,-1.935634747
6790000000,-1.937778928,-1.939854619
6800000000,-1.93961994,-1.93446376
6810000000,-1.941414559,-1.940587492
6820000000,-1.943207812,-1.941578069
6830000000,-1.945017574,-1.932717816
6840000000,-1.946738025,-1.946369057
6850000000,-1.948471311,-1.944094118
6860000000,-1.95020674,-1.950245323
6870000000,-1.951894148,-1.943824998
6880000000,-1.953563844,-1.95138529
6890000000,-1.955232822,-1.958239096
6900000000,-1.956900791,-1.957705704
6910000000,-1.958645066,-1.952563314
6920000000,-1.960360898,-1.964090125
6930000000,-1.962047097,-1.966014336
6940000000,-1.963730813,-1.962764147
6950000000,-1.965433759,-1.966107757
6960000000,-1.967127443,-1.968053365
6970000000,-1.968850107,-1.968422314
6980000000,-1.970590598,-1.975879338
6990000000,-1.972306009,-1.983502737
7000000000,-1.974053078,-1.987350811
7010000000,-1.975789548,-1.986101859
7020000000,-1.97757416,-1.985634181
7030000000,-1.979316559,-1.987026077
7040000000,-1.981021864,-1.993115846
7050000000,-1.982756809,-2.00116126
7060000000,-1.984461271,-2.003072337
7070000000,-1.986186287,-2.003853202
7080000000,-1.987849768,-2.006007834
7090000000,-1.989478165,-2.002620215
7100000000,-1.991159688,-2.007774321
7110000000,-1.992809074,-2.006284134
7120000000,-1.99440649,-2.010403633
7130000000,-1.996045057,-2.010206819
7140000000,-1.997663081,-2.01100106
7150000000,-1.999241063,-2.011280608
7160000000,-2.000837122,-2.019690559
7170000000,-2.002437649,-2.012516009
7180000000,-2.004004037,-2.010692052
7190000000,-2.005546203,-2.019533784
7200000000,-2.00712349,-2.0209263
7210000000,-2.008736072,-2.022794696
7220000000,-2.010349739,-2.021573414
7230000000,-2.011934999,-2.025722879
7240000000,-2.01356446,-2.026901987
7250000000,-2.015202375,-2.035549631
7260000000,-2.016803635,-2.039624705
7270000000,-2.0184194,-2.044576102
7280000000,-2.020013325,-2.048492716
7290000000,-2.021606137,-2.053713441
7300000000,-2.023185593,-2.052657199
7310000000,-2.024807321,-2.057143625
7320000000,-2.026377496,-2.0657331
7330000000,-2.027955645,-2.068016039
7340000000,-2.029544044,-2.073572855
7350000000,-2.031116164,-2.075543964
7360000000,-2.032709226,-2.076069781
7370000000,-2.034306872,-2.07590072
7380000000,-2.035929156,-2.079467196
7390000000,-2.037589633,-2.079919173
